Clause,Section Title,Category,Classification,Explanation
"Ist für den Arbeitgeber eine längere Kündigungsfrist durch Gesetz oder Tarifvertrag vorgesehen, so sind sich die Parteien darüber einig, dass diese längeren Kündigungsfristen auch für den Arbeitnehmer gelten.",8 Dauer und Beendigung des Arbeitsverhältnisses,Kündigung/Beendigung,0,Für die Kündigung des Arbeitsverhältnisses durch den Arbeitnehmer darf nur keine längere Frist vereinbart werden als für die Kündigung durch den Arbeitgeber.
Das Arbeitsverhältnis beginnt mit einer Probezeit von sechs Kalendermonaten. Während dieser Probezeit kann das Angestelltenverhältnis mit einer Frist von zwei Wochen zum Schluß eines Kalendermonats gekündigt werden.,2,Kündigung/Beendigung,1,Hier taggenaue Kündigung möglich in Probezeit. Nur zu Ende eines Monats hier unzulässig
"Mit der Zahlung der vorgenannten Bezüge sind etwaige tarifliche Ansprüche z.B. auf Urlaubsgeld, Sonderzahlung, Leistung nach dem Tarifvertrag über altersvorsorgewirksame bzw. vermögenswirksame Leistungen oder auf die Vergütung von Mehr-, Spät-, Nachts-, Sonntags- und Feiertagsarbeit abgegolten. Die obigen Entgelt regelungen beinhalten diese genannten Leistungen.",4. Entgelt,Vergütung,0.5,Umfang von > 8 Stunden als abgegoltene Überstunden ist unzulässig. Hier pauchale Abgeltung von allem.
Die Arbeitnehmerin hat die ihr obliegenden Aufgaben sorgfältig und gewissenhaft nach Maßgabe der Gesetze und der ihm vom Arbeitsgeber erteilten Weisungen zu erfüllen.,1.3 Beginn und Inhalt des Arbeitsverhältnisses; Probezeit,Leistungen,0,
"Gesetzliche Verlängerungen der Kündigungsfristen gelten nicht nur für den Arbeitgeber, sondern in gleicher Art und Weise auch für die Arbeitnehmerin.",12.5 Beendigung des Arbeitsverhältnisses,Kündigung/Beendigung,0,Für die Kündigung des Arbeitsverhältnisses durch den Arbeitnehmer darf nur keine längere Frist vereinbart werden als für die Kündigung durch den Arbeitgeber.
"Die Arbeitnehmerin wird alle Änderungen über die Angaben zu ihrer Person, soweit diese für das Arbeitsverhältnis von Bedeutung sind, unverzüglich dem Arbeitgeber mitteilen. Dies gilt auch im Hinblick auf jede Änderung ihrer Anschrift.",13.2 Sonstiges,Sonstiges,0,
Lohnabtretungen und Lohnverpfändungen sind unzulässig.,3.7 Vergütung,Pfändung/Abtretung,1,Pfändungs-/Abtretungsverbot seit 10/2021 nach § 308 Nr. 9 lit. a BGB in AGB ausgeschlossen
Der Arbeitgeber beteiligt sich an der Vermögensbildung durch Zahlung vermögenswirksamer Leistungen in Höhe von monatlich EUR ___ brutto.,3.7 Vergütung,Vergütung,0,"Höchstgrenze von 40 Euro muss eingehalten werden, damit förderfähig"
"Änderungen der persönlichen Daten und sonstiger Umstände, die sich auf die Arbeitsleistung auswirken könnten oder für das Arbeitsverhältnis von Bedeutung sind, sind der Gesellschaft unverzüglich anzuzeigen. Dies betrifft z. B. Änderungen der Privatanschrift, steuerliche Abzugsmerkmale (ELStAM), ggf. Unterhaltspflichten etc.",14 Anzeigepflichten,Durchführung,0,
Die mit der vereinbarten Position verbundenen Aufgaben und Pflichten werden in einer Stellenbeschreibung konkretisiert und können von der Gesellschaft jederzeit entsprechend Ziffer 2.3 modifiziert werden.,"2.2 Tätigkeit, Pflichten, Versetzung",Leistungen,0.5,"Muss aus Transparenzgründen dann Vertrag beigefügt sein, da für Arbeitnehmer Tätigkeiten erkennbar sein müssen"
Die Zahlung erfolgt bargeldlos und ist jeweils am Monatsende fällig.,"5.2 Arbeitsvergütung, Abgeltung von Überstunden",Durchführung,0,
"Die Aufrechnung gegenüber Ansprüchen der Gesellschaft ist ausgeschlossen, soweit es sich nicht um unbestrittene oder rechtskräftig festgestellte Forderungen handelt.",9. Aufrechnungsverbot,Sonstiges,0,"Grds. möglich, § 393 BGB hier als Fall nicht denkbar"
"Solange das Arbeitsverhältnis besteht, ist jede Wettbewerbstätigkeit untersagt. Auf Erwerb gerichtete Nebentätigkeiten sind der Personalleitung anzuzeigen. Bei auf Erwerb gerichteten Nebentätigkeiten, die zu einer Beeinträchtigung der Arbeitsleistung des/der Beschäftigten führen oder sonstige Interessen der WMF berühren können, behält sich die WMF vor, die Nebentätigkeit zu untersagen.",11.  Nebentätigkeit,Vertragsstrafe/Wettbewerbsverbot,0.5,Komplette Wettbewerbsverbot nur mit Kompensationszahlung möglich. Nebentätigkeitenvorbehalt würde gehen
Die Monatsbezüge werden jeweils zum Monatsende überwiesen. Beim Eintritt sind Bankverbindung und Kontonummer anzugeben.,5 Entgeltzahlung,Durchführung,0,
"Sämtliche gegenseitigen Ansprüche aus dem Arbeitsverhältnis erlöschen beiderseits drei Monate nach Fälligkeit, von oder gegen ausgeschiedene Arbeitnehmer jedoch nicht später als einen Monat nach Fälligkeit der Ansprüche für den Kalendermonat, in dem das Arbeitsverhältnis endet, sofern sie nicht vorher unter Angabe der Gründe schriftlich geltend gemacht worden sind.",Ausschlussfristen,Ausschlussfristen,1,Schriftform statt Textform vorgesehen. Nicht mehr möglich aufgrund Rechtsprechungsänderung. Darüber hinaus müssen immer mind. 3+3 Monate sein. Kleiner 3 jeweils nicht möglich
Außerdem übernimmt der Mitarbeiter weitere betrieblich erforderliche Tätigkeiten entsprechend dem jeweiligen Bedarf und seinen Qualifikationen.,1.2 Aufgaben,Durchführung,0,
"Überstunden, Mehrarbeitstage, arbeiten an Sonn und Feiertagen sind mit dem oben genannten Brutto und dem zur Verfügung gestelltem Betriebsfahrzeug abgegolten.",4 Vergütung,Vergütung,1,Umfang von > 8 Stunden als abgegoltene Überstunden ist unzulässig. Hier pauchale Abgeltung von allem.
Die Gesellschaft ist befugt in gesetzlich zulässigem Umfang Überstunden anzuordnen.,4.1 Überstunden- und Mehrarbeitsvergütung,Durchführung,0,
"Überschreiten die insgesamt geleisteten Über- oder Mehrarbeitsstunden mehr als zehn (10) Stunden pro Monat erfolgt nur dann eine Über- oder Mehrarbeitsstundenabgeftung, wenn dieschriftliche Stundenaufstellung vom Vorgesetzten genehmigt wird.",4.3 Überstunden- und Mehrarbeitsvergütung,Vergütung,0.5,Umfang von > 8 Stunden als abgegoltene Überstunden ist unzulässig. Abzeichnung aber in Ordnung
Änderungen und/oder Ergänzungen dieses Vertrages bedürfen der Schriftform. Mündliche Vereinbarungen sind nichtig. Dies gilt auch für eine Abänderung des Schriftformerfordernisses. Mündliche Nebenabreden sind nicht getroffen.,15 Schlussbestimmungen,Form,1,Schriftform statt Textform vorgesehen. Nicht mehr möglich aufgrund Rechtsprechungsänderung.
"Die Arbeitgeberin kann die Ausübung entgeltlicher Nebentätigkeit untersagen, wenn hierdurch die Arbeitsleistung beeinträchtigt werden kann oder schützenswerte Interessen der Arbeitgeberin in sonstiger Weise nachteilig berührt werden können.",5.2 Nebentätigkeiten,Vertragsstrafe/Wettbewerbsverbot,0,
"Alle Ansprüche, die sich aus diesem Arbeitsverhältnis ergeben, sind von den Vertragsschließenden binnen einer Frist von drei Monaten seit ihrer Fälligkeit schriftlich geltend zu machen und im Falle der Ablehnung durch die Gegenpartei binnen einer Frist von zwei Monaten einzuklagen.",15 besondere Vereinbarungen,Ausschlussfristen,1,Schriftform statt Textform vorgesehen. Nicht mehr möglich aufgrund Rechtsprechungsänderung. Darüber hinaus müssen immer mind. 3+3 Monate sein. Kleiner 3 jeweils nicht möglich
"Die Arbeitskraft ist verpflichtet, Mehr- und Überstunden in dem gesetzlich vorgesehenen Umfang zu leisten. Bis zu 10 Überstunden monatlich sind mit dem Bruttolohn abgegolten.",5 Arbeitszeit,Vergütung,0,
"Mit dem Gehalt sind alle Leistungen des Mitarbeiters abgegolten. Zusätzliche Zahlungen, z.B. für eventuelle Überstunden, Zuschläge für Nacht-, Feiertags-, Samstags- oder Sonntagsarbeit werden nicht gewährt.",2.4 Bezüge,Vergütung,1,Umfang von > 8 Stunden als abgegoltene Überstunden ist unzulässig. Hier vollständige Abgeltung
"Alle Ansprüche, die sich aus dem Arbeitsverhältnis ergeben, sind von den Parteien innerhalb einer Frist von sechs Monaten seit ihrer Fälligkeit schriftlich geltend zu machen und im Falle der Ablehnung durch die Gegenpartei binnen einer Frist von zwei Monaten einzuklagen.",14 Verfallsfristen,Ausschlussfristen,1,Schriftform statt Textform vorgesehen. Nicht mehr möglich aufgrund Rechtsprechungsänderung. Darüber hinaus müssen immer mind. 3+3 Monate sein. Kleiner 3 jeweils nicht möglich
"(1)    Soweit die PARTEIEN nicht ausdrücklich etwas anderes vereinbart haben, verfallen alle Ansprüche aus dem Arbeitsverhältnis und solche, die mit dem Arbeitsverhältnis in Verbindung stehen, insbesondere Ansprüche auf Arbeitsleistung, Arbeitsentgelt, Urlaubsabgeltungsansprüche der Anspruch auf ein qualifiziertes Zeugnis etc., wenn sie nicht innerhalb von drei Monaten nach ihrer Fälligkeit schriftlich gegenüber der anderen Partei geltend gemacht werden. Lehnt diese Partei den Anspruch schriftlich ab oder erklärt sie sich nicht innerhalb von zwei Wochen nach der Geltendmachung des Anspruchs schriftlich, so verfällt der Anspruch, wenn er nicht innerhalb von drei Monaten nach dem Zugang der Ablehnung oder nach dem Ablauf der Zweiwochenfrist gerichtlich geltend gemacht wird. Ansprüche, die während eines Kündigungsrechtsstreits fällig werden und von seinem Ausgang abhängen, sind innerhalb von drei Monaten nach rechtskräftiger Beendigung des Rechtsstreits schriftlich geltend zu machen, andernfalls verfallen sie. (2)    Die regelmäßige Verjährungsfrist für alle Ansprüche aus und im Zusammenhang mit diesem Vertrag beträgt ein Jahr. (3)    Die Vereinbarungen in den vorstehenden § 12 Absätze 1 und 2 dieses Vertrages gelten insbesondere nicht für die Haftung wegen Vorsatz und Ansprüche aus dem Mindestlohngesetz (MiLoG).","12 Ausschlussfrist, Verjährung",Ausschlussfristen,1,Schriftform statt Textform vorgesehen. Nicht mehr möglich aufgrund Rechtsprechungsänderung. Darüber hinaus müssen immer mind. 3+3 Monate sein. Kleiner 3 jeweils nicht möglich
Dieser Vertrag unterliegt deutschem Recht.,14.3 Sonstiges,Sonstiges,0,Parteien können Rechtsordnung wählen
"Für Rechtsstreitigkeiten aus dem Arbeitsverhältnis, seiner Beendigung und Abwicklung ist das Arbeitsgericht ___ zuständig.",14.4 Sonstiges,Sonstiges,0,Parteien können Gerichststand vereinbaren
"Mit dem vereinbarten monatlichen Bruttogehalt gem. § 3 Abs. 1 dieses Vertrages sind Über- und Mehrarbeit, soweit sie 4 Stunden pro Woche nicht überschreiten, abgegolten. Darüber hinaus geleistete Über- und Mehrarbeit ist auf Weisung des ARBEITGEBERS entweder durch entsprechende Freizeit zu gewähren oder durch eine Überstundenvergütung auszugleichen.",3.4 Vergütung,Vergütung,0,Umfang von < 8 Stunden als abgegoltene Überstunden ist zulässig.
Der ARBEITNEHMER hat die Verpfändung seiner Vergütungsansprüche dem ARBEITGEBER unverzüglich anzuzeigen.,"4.2 Abtretung, Aufrechnung, Pfändung, Verpfändung",Pfändung/Abtretung,0,
"Scheidet der ARBEITNEHMER aufgrund Kündigung, Aufhebungs- oder Abwicklungsvertrag aus dem Arbeitsverhältnis aus und hat der ARBEITGEBER noch Geldforderungen gegen den ARBEITNEHMER, ist er befugt, Gehaltsansprüche des ARBEITNEHMERS mit von seiner Seite aus noch bestehenden Ansprüchen gegen den ARBEITNEHMER zur Aufrechnung zu stellen. Der ARBEITNEHMER hat stets das Recht, mit unbestrittenen oder rechtskräftig festgestellten Forderungen gegen Ansprüche des ARBEITGEBERS die Aufrechnung zu erklären. Die Aufrechnung des ARBEITGEBERS darf nur bis zur Höhe des pfändbaren Teils der Vergütung erfolgen.","4.2 Abtretung, Aufrechnung, Pfändung, Verpfändung",Sonstiges,0,"Grds. möglich, § 393 BGB hier als Fall nicht denkbar"
"Mitarbeiter, die überwiegend im Außendienst tätig sind und die nicht der Zeiterfassung unterliegen, erhalten keine Überstundenvergütung.",3. Gehalt/5.Urlaub,Vergütung,1,Umfang von > 8 Stunden als abgegoltene Überstunden ist unzulässig. Hier vollständige Abgeltung. Darüber hinaus Zeiterfassung für alle nötig
"Wird die Arbeitsunfähigkeit durch Verschulden Dritter herbeigeführt (z.B. durch einen Verkehrsunfall), so wird hiermit vereinbart, dass Sie Ihre Ansprüche gegenüber dem Schädiger in Höhe des von ___ während Ihrer Arbeitsunfähigkeit zu zahlenden Brutto-Entgeltes an ___ abtreten.",7. Arbeitsverhinderung,Pfändung/Abtretung,0,
"Die Firma behält sich vor, auch Mehrarbeit über den Rahmen der Normalarbeitszeit hinaus anzuordnen. Bei entsprechendem betrieblichem Bedarf ist der Mitarbeiter verpflichtet, in zumutbarem Maß zusätzliche Stunden über die vereinbarte Arbeitszeit hinaus zu leisten, welche grundsätzlich mit der Monatsvergütung abgegolten sind. Die Regegelungen des Arbeitszeitgesetzes in seiner aktuellen Fassung sind zu berücksichtigen.", 3 (3) Arbeitszeit,Vergütung,1,Umfang von > 8 Stunden als abgegoltene Überstunden ist unzulässig. Hier vollständige Abgeltung. Darüber hinaus Zeiterfassung für alle nötig
"Alle wechselseitigen Ansprüche, die sich unmittelbar oder mittelbar aus dem Arbeitsverhältnis ergeben, verfallen, wenn sie nicht innerhalb von 3 Monaten nach ihrer Fälligkeit gegenüber der anderen Vertragspartei schriftlich eingefordert worden sind und im Falle der Ablehnung der Erfüllung durch die Gegenpartei oder nach Fristablauf nicht innerhalb von weiteren 3 Monaten nach Zugang der Ablehnung gerichtlich geltend gemacht worden sind. Die Erfüllung gilt als abgelehnt, wenn sich die Partei nicht innerhalb von 2 Wochen nach Zugang der Einforderung schriftlich zur Leistung bereit erklärt hat.",11.1 Verfallsklausel,Ausschlussfristen,0.5,Schriftform statt Textform vorgesehen. Nicht mehr möglich aufgrund Rechtsprechungsänderung. Darüber hinaus müssen immer mind. 3+3 Monate sein. Das hier ok
Mündliche Nebenabreden wurden nicht getroffen. Ergänzungen und/oder Änderungen dieses Vertrages bedürfen der Schriftform. Dies gilt auch für das Schriftformerfordernis selbst.,12.4 Sonstige Vereinbarungen,Form,0.5,Schriftform statt Textform vorgesehen. Nicht mehr möglich aufgrund Rechtsprechungsänderung. 
"Das Arbeitsverhältnis endet mit Ablauf des Monats, in dem der Mitarbeiter das gesetzliche Rentenalter erreicht, durch Erwerbsunfähigkeit oder durch Kündigung.",9.1 Beendigung des Arbeitsverhältnisses,Kündigung/Beendigung,0,
"Schadenersatzansprüche, die der/die Arbeitnehmer/in bei Unfall oder Krankheit wegen des Verdienstausfalls gegen Dritte erwirbt, werden hiermit an den Arbeitgeber bis zur Höhe der Beträge abgetreten, die der Arbeitgeber aufgrund gesetzlicher oder vertraglicher Bestimmungen für die Dauer der Arbeitsunfähigkeit gewährt. Der/die Arbeitnehmer/in hat dem Arbeitgeber unverzüglich die zur Geltendmachung der Schadenersatzansprüche erforderlichen Angaben (Unfallmitteilung) zu machen und sich jeder Verfügung über diese Ansprüche zu enthalten.",11 Abtretung von Schadenersatzansprüchen,Pfändung/Abtretung,0,
Mündliche Nebenabreden wurden nicht getroffen. Ergänzungen und Änderungen dieses Vertrages bedürfen der Schriftform. Mündliche Vereinbarungen über die Aufhebung der Schriftform sind nichtig. Die Nichtigkeit einzelner Bestimmungen dieses Vertrages berührt die Wirksamkeit des Vertrages im Übrigen nicht.,19 Vertragsänderung/ Nebenabreden/ Teilungültigkeit,Form,0.5,Schriftform statt Textform vorgesehen. Nicht mehr möglich aufgrund Rechtsprechungsänderung. 
"Die FIRMA und der/die ARBEITNEHMER/IN haben alle Ansprüche, die sich aus dem Arbeitsverhältnis ergeben und mit diesem in Verbindung stehen binnen einer Frist von 3 Monaten schriftlich geltend zu machen und nach Ablehnung binnen einer weiteren Frist von 2 Monaten, spätestens aber 4 Monate nach Fälligkeit gerichtlich geltend zu machen. Geschieht dies nicht, sind die Ansprüche verfallen.",10d Schlussbestimmungen,Ausschlussfristen,1,Zweistufige Ausschlussfrist möglich. Allerdings hier wegen  < 3 Monate unwirksam. Darüber hinaus Schriftform statt Textform
Die Lohnzahlung erfolgt bargeldlos auf das von dem/der ARBEITNEHMER/IN angegebene Konto.,2c Vergütung,Durchführung,0,
Der Urlaubsanspruch beträgt 30 Arbeitstage. Im Ein- und Austrittsjahr wird der Urlaub anteilig gewährt. Außerhalb des Betriebsurlaubes wird der Urlaub im Einvernehmen mit dem Vorgesetzten festgelegt und genommen.,5 Urlaubsanspruch,Vergütung,0,Mindestens 20 Urlaubsstage bei 5 Tage Woche eingehalten
"Im Falle der schuldhaften Nichtaufnahme oder vertragswidrigen Beendigung der Tätigkeit verpflichtet sich der/die ARBEITNEHMER/IN, dem Arbeitgeber eine Vertragsstrafe in Höhe eines Gesamtmonatseinkommens zu bezahlen. Die FIRMA ist berechtigt, einen weitergehenden Schaden geltend zu machen.",8. Vertragsstrafe,Vertragsstrafe/Wettbewerbsverbot,0.5,"Grundsätzlich möglich um Verstöße zu sanktionieren, hier allerdings keine Berücksichtigung Probezeit als weniger. Daher intransparent"
Während der ersten sechs Monate (Probezeit i. S. § 1 Abs. 1 KSchG) kann das Anstellungsverhältnis beiderseits mit einer Frist von zwei Wochen gekündigt werden.,9a Vertragsdauer und Kündigung,Kündigung/Beendigung,0,"§ 622 III: maximale Probezeit von 6 Monaten, Kündigungsfrist 2 Wochen"
"Der ARBEITGEBER ist befugt, bei Bedarf und in einem dem ARBEITNEHMER zumutbaren Umfang Überstunden anzuordnen. Die Überstunden sind auf Weisung des ARBEITGEBERS entweder durch entsprechende Freizeit zu gewähren oder durch eine am Maßstab des Bruttoarbeitsentgelts ausgerichtete Überstundenvergütung auszugleichen. Über­stun­den werden jedoch nicht ge­son­dert vergütet, son­dern sind mit dem Ge­halt ab­ge­gol­ten, so­weit sie bei einer Vollzeittätigkeit ei­nen Um­fang von zehn St­un­den pro Woche nicht über­schrei­ten (bei Teilzeittätigkeit entsprechend weniger (z.B. bei 20 Wochenarbeitsstunden sind 2 Überstunden pro Woche abgegolten). ",Vergütung,Vergütung,0.5,Umfang von > 8 Stunden als abgegoltene Überstunden ist unzulässig. Hier für Teilzeit wieder ok als Regelung
"Mit der Unterzeichnung bestätigt der Dienstnehmer unter anderem die Korrektheit der folgenden Angaben zum Zeitpunkt der Unterzeichnung: Der Dienstnehmer verpflichtet sich, dem Dienstgeber unverzüglich über Veränderungen Mitteilung zu machen.",1. Stammdaten,Sonstiges,0,
"Dem Arbeitnehmer steht der gesetzliche Mindesturlaub von 20 Tagen bei einer Beschäftigung an 5 Tagen pro Woche zu. Darüber hinaus gewährt der Arbeitgeber einen zusätzlichen vertraglichen Urlaub von 5 Tagen pro Kalenderjahr. Der Dienstgeber legt den Urlaub unter Berücksichtigung der Wünsche des Dienstnehmers fest. Dringende betriebliche Gründe gehen vor. Wenn Betriebsferien angeordnet werden, ist der Urlaub auf Verlangen des Dienstgebers zu diesem Zeitpunkt zu nehmen. Im Ein- und Austrittsjahr entsteht der Urlaubsanspruch nur zeitanteilig entsprechend der Beschäftigungsmonate.",10. Urlaub,Urlaub,0,
"Der Urlaub ist im laufenden Kalenderjahr zu gewähren und zu nehmen. Er wird nur dann auf das nächste Kalenderjahr übertragen, wenn dringende betriebliche oder in der Person des Arbeitnehmers liegende Gründe dies rechtfertigen. Im Fall der Übertragung muss der zusätzliche vertragliche Urlaub in den ersten 3 Monaten des nächsten Kalenderjahrs gewährt und genommen werden. Ansonsten verfällt er jeweils mit Ablauf des 31.3. dieses nächsten Kalenderjahrs; dies gilt auch für Fälle, in denen der Arbeitnehmer den zusätzlichen vertraglichen Urlaub aufgrund von Krankheit nicht in Anspruch nehmen kann. Wird der zusätzliche vertragliche Urlaub nicht nach Maßgabe der vorstehenden Sätze auf das Folgejahr übertragen, dann verfällt er mit Ablauf des 31 .12. des jeweiligen Kalenderjahres. Die Übertragung des gesetzlichen Urlaubs richtet sich nach den jeweiligen gesetzlichen Bestimmungen.",10. Urlaub,Urlaub,0,
"Es werden sowohl die letzte Kalenderwoche (24.12.- 31.12.), also auch die erste Kalenderwoche (KW 1) als Pflichturlaubstage definiert.",10. Urlaub,Urlaub,0.5,Kommt auf Gesamte Urlaubstage an. AG kann nur bestimmten Teil verplanen des AN
"Der Dienstnehmer darf eine Nebenbeschäftigung während des Bestandes des Dienstverhältnisses nur mit schriftlicher Einwilligung des Dienstgebers aufnehmen. Veröffentlichungen und Vorträge des Dienstnehmers bedürfen der Zustimmung des Dienstgebers, wenn dadurch die Interessen des Dienstgebers berührt werden.",11. Nebenbeschäftigung,Vertragsstrafe/Wettbewerbsverbot,0,
"Der Dienstnehmer ist verpflichtet, während und nach Beendigung des Dienstverhältnisses über alle nicht allgemein bekannten geschäftlichen und betrieblichen Angelegenheiten des Dienstgebers sowohl gegenüber Außenstehenden, als auch gegenüber anderen Mitarbeitern Verschwiegenheit zu wahren und Anweisungen zur Geheimhaltung zu erfüllen. Die Schweigepflicht bezieht sich auch auf den Inhalt dieses Vertrages.",12. Schweigepflicht,Vertragsstrafe/Wettbewerbsverbot,0.5,Pflicht zu Verschwiegenheit über Gehalt nicht möglich
"Dem Dienstnehmer ist es ohne die ausdrückliche vorherige Zustimmung des Dienstgebers untersagt, Sachen jeglicher Art (Hardware, Schriftstücke, Adressdateien, Zeichnungen, Notizen, Bücher, Muster, Modelle, Werkzeuge, Material, etc.), gleichgültig in wessen Eigentum sie stehen, aus den Geschäftsräumen zu entfernen. Diese Verpflichtung gilt entsprechend für Software. Die Sachen/Software sind spätestens dann wieder in die Geschäftsräume zurückzubringen, wenn der Zweck der Mitnahme erfüllt ist. Der Dienstnehmer hat dafür Sorge zu tragen, dass Dritte keinen Einblick in Sachen/Software haben. Er darf die Sachen/Software Dritten nicht zur Verfügung stellen. Die überlassenen Sachen/Software dürfen ausschließlich zu dem bei der Überlassung zu benennenden Zweck benutzt werden.",13. Datenschutz,Sonstiges,1,Verbot der Mitnahme von Sachen egal in wessen Eigentum sie stehen (somit auch im EIgentum des AN) kann nicht untersagt werden
"Die Parteien sind sich darüber einig, dass urheberrechtlich geschützte Ergebnisse der Tätigkeit, die der Dienstnehmer im Rahmen dieses Vertrages erbringt, ausschließlich dem Dienstgeber zustehen und dass ausschließlich der Dienstgeber befugt ist, alle vermögensrechtlichen Befugnisse an solchen Ergebnissen der Tätigkeit des Dienstnehmers auszuüben. Zu diesem Zweck überträgt der Dienstnehmer als Urheber dem Dienstgeber für alle zurzeit bekannten Nutzungsarten ein ausschließliches, übertragbares, unwiderrufliches und sachlich wie räumlich unbeschränktes Nutzungsrecht. Die Einräumung des Nutzungsrechts behält auch nach Ausscheiden des Dienstnehmers bei dem Dienstgeber Gültigkeit.",14. Schutzrechte/ Know-how,Erfindungen,0,
"Der Dienstnehmer ist verpflichtet sich im Hinblick auf dieses Dienstverhältnis und alle daraus entstehenden Aufgaben seinerseits, die folgenden Regelungen anzuerkennen:
• Alle überlassenen Geschäfts- und, Finanzinformationen, sowie insbesondere jegliche Kundeninformationen des Dienstgebers, sind streng vertraulich zu behandeln.
• Der Dienstnehmer wird die erhaltenen Informationen und die vom Dienstgeber bereitgestellten Arbeitsgeräte und Arbeitsmaterial nur für die Zwecke des Dienstverhältnisses benutzen und diese Informationen ansonsten weder für eigene Zwecke noch für Zwecke Dritter verwenden oder weitergeben.
• Der Dienstnehmer wird nur für die, und im Rahmen der, Zwecke seines Dienstverhältnisses nötigen Kopien von Unternehmensinformationen (physisch oder elektronisch) anfertigen. Für den Fall des endgültigen Ausscheidens aus dem Unternehmen hat der Dienstnehmer jegliche Kopien der Informationen (sei es physisch oder elektronisch) endgültig zu löschen (und auf Anfrage des Dienstgebers schriftlich zu bestätigen, dass er keinerlei Zugang zu Kopien der Informationen mehr hat).
• Der Dienstnehmer ist an keinerlei Verpflichtungen gegenüber dritten Auftraggebern gebunden, die mit der Einhaltung der Verpflichtungen aus dieser Erklärung in Konflikt stehen.",15. Vertraulichkeitserklärung,Vertragsstrafe/Wettbewerbsverbot,0,
"Dem Dienstnehmer ist die Annahme von Geschenken oder Vergünstigungen, gleich welcher Art, von Lieferanten, Kunden, Konkurrenten, etc., des Dienstgebers untersagt. Er ist verpflichtet, den Dienstgeber unverzüglich zu informieren, falls ihm Geschenke oder Vergünstigungen angeboten werden. Bereits entgegen genommene Geschenke hat der Dienstnehmer dem Dienstgeber zu übergeben und zu übereignen, ohne dass ein Ausgleichanspruch besteht. Sofern Vergünstigungen eingeräumt worden sind, hat der Dienstnehmer die zugrundeliegenden Rechtsgeschäfte auf Verlangen des Dienstgebers rückgängig zu machen.",16. Geschenke,Sonstiges,0,
Der Dienstnehmer erklärt sich mit einer Speicherung seiner personenbezogenen Daten in der EDV-Anlage des Dienstgebers oder eines von diesem beauftragten Unternehmen einverstanden.,17. Datenspeicherung,Sonstiges,0,zur Durchführung des AV notwendig
"Eine Kündigung für beide Parteien ist nur unter Einhaltung der gesetzlichen Kündigungsfristen gemäß§ 622 BGB zum 15. oder Ende des Kalendermonats zulässig, während der 6-monatigen Probezeit ist eine Kündigung für beide Parteien zum 15. oder Ende des Kalendermonats unter Einhaltung einer zweiwöchigen Kündigungsfrist festgelegt. Verlängert sich die Kündigungsfrist für die Firma aus tariflichen oder gesetzlichen Gründen, gilt diese Verlängerung auch für den Arbeitnehmer. Jede Kündigung bedarf zu ihrer Wirksamkeit der Schriftform. Die elektronische Form ist ausgeschlossen. Das Arbeitsverhältnis endet, ohne dass es einer Kündigung bedarf, mit Ablauf des Monats, in dem der Angestellte das für ihn maßgebliche Regelrentenalter der gesetzlichen Rentenversicherung erreicht.",18. Kündigung,Kündigung/Beendigung,1,Hier Kündigung in der Probezeit täglich möglich
"Aus dem reinen einseitigen Verhalten des Dienstgebers erwachsen dem Dienstnehmer keine vertraglichen Rechtsansprüche, sofern nicht eine mündliche oder schriftliche einvernehmliche Vertragsänderung vorliegt (Ausschluss der betrieblichen Übung). Sollten einzelne Bestimmungen dieses Vertrages unwirksam sein oder werden, wird hierdurch die Wirksamkeit des Vertrages im Übrigen nicht berührt. Nebenabsprachen oder Absichtsbekundungen zwischen Dienstnehmer und Dienstgeber bedürfen einer gesonderten Unterzeichnung aller Vertragsparteien werden. Dieser Vertrag unterliegt deutschem Recht. Der Gerichtsstand ist Köln.",19. Vertragsänderungen und Nebenabsprachen,Sonstiges,0,
Der Dienstgeber leistet Beiträge nach dem BMAS in die gesetzliche Rentenversicherung:,2. Mitarbeitervorsorgekasse,Vergütung,0,gesetzliche Pflicht
"Nach 6 Monaten ist bei guter Entwicklung eine Aufstufung auf internes Gehaltsschema UR 4.353,· brutto/ Monat bei 40 Wochenstunden - vorgesehen. Die weitere Gehaltsentwicklung ist an das interne Gehaltsschema gekoppelt.",20. Absichtserklärung,Leistungen,0.5,"etwas unbestimmt ob Anspruch des AN nach 6 Monaten oder nicht. ""Gute Entwicklung"" ggf. schwer messbar"
Der Arbeitnehmer wird mit Wirkung vom 1.10.2020 als Innovation Manager (Tätigkeit) in Köln auf unbestimmte Zeit eingestellt. Die Probezeit wird mit einer Dauer von 6 Monaten festgelegt.,3. Beginn des Dienstverhältnisses,Durchführung,0,
Das Antreten des Dienstes am Arbeitsplatz in alkoholisiertem oder sonst berauschtem Zustand ist verboten.,4. Vorgesehene Verwendung,Durchführung,0,ergibt sich bereits als Nebenpflicht eines Arbeitsvertrages
